Enhetsnamn;Årskurs;Kön;Skolform;År;Månad;Total schemalagd tid;Närvarande;Total frånvaro;Giltig frånvaro;Ogiltig frånvaro;Ej registrerad
Annedalsskolan F-6;3;Flicka;Grundskola;2025;10;117730;106580;6655;6520;135;4495
Annedalsskolan F-6;3;Pojke;Grundskola;2025;10;107150;94008;9317;9140;177;3825
Annedalsskolan F-6;3;Flicka;Grundskola;2025;11;125315;114434;5581;5435;146;5300
Annedalsskolan F-6;3;Pojke;Grundskola;2025;11;118700;108515;5970;5710;260;4215
Annedalsskolan F-6;3;Pojke;Grundskola;2025;12;84765;76112;3743;2850;893;4910
Annedalsskolan F-6;3;Flicka;Grundskola;2025;12;89580;81270;3110;3035;75;5200
Annedalsskolan F-6;3;Flicka;Grundskola;2026;1;101105;89397;7048;6525;523;4660
Annedalsskolan F-6;3;Pojke;Grundskola;2026;1;95785;80070;11040;7510;3530;4675
Annedalsskolan F-6;3;Flicka;Grundskola;2026;2;83760;75490;7035;6495;540;1235
Annedalsskolan F-6;3;Pojke;Grundskola;2026;2;79185;68605;9395;5710;3685;1185
Annedalsskolan F-6;3;Flicka;Grundskola;2026;3;113640;105390;3150;2765;385;5100
Annedalsskolan F-6;3;Pojke;Grundskola;2026;3;107385;99375;3465;3300;165;4545
Annedalsskolan F-6;3;Pojke;Grundskola;2026;4;11320;11095;0;0;0;225
Annedalsskolan F-6;3;Flicka;Grundskola;2026;4;11795;10445;1020;475;545;330
Annedalsskolan F-6;4;Pojke;Grundskola;2025;8;51950;42830;4400;4400;0;4720
Annedalsskolan F-6;4;Flicka;Grundskola;2025;8;62820;53135;3945;3440;505;5740
Annedalsskolan F-6;4;Pojke;Grundskola;2025;9;111480;106865;4140;4035;105;475
Annedalsskolan F-6;4;Flicka;Grundskola;2025;9;130900;120240;10035;9335;700;625
Annedalsskolan F-6;4;Flicka;Grundskola;2025;10;114255;102785;8200;8085;115;3270
Annedalsskolan F-6;4;Pojke;Grundskola;2025;10;100905;88565;9310;9310;0;3030
Annedalsskolan F-6;4;Flicka;Grundskola;2025;11;126535;113050;7540;7260;280;5945
Annedalsskolan F-6;4;Pojke;Grundskola;2025;11;110895;100965;4730;4505;225;5200
Annedalsskolan F-6;4;Flicka;Grundskola;2025;12;90300;76135;8135;8135;0;6030
Annedalsskolan F-6;4;Pojke;Grundskola;2025;12;78990;69255;4510;4355;155;5225
Annedalsskolan F-6;4;Flicka;Grundskola;2026;1;111380;92640;9445;9380;65;9295
Annedalsskolan F-6;4;Pojke;Grundskola;2026;1;87590;74640;5340;4930;410;7610
Annedalsskolan F-6;4;Pojke;Grundskola;2026;2;73290;65060;8230;5380;2850;0
Annedalsskolan F-6;4;Flicka;Grundskola;2026;2;93675;84850;8735;8665;70;90
Annedalsskolan F-6;4;Flicka;Grundskola;2026;3;127910;110975;7275;7115;160;9660
Annedalsskolan F-6;4;Pojke;Grundskola;2026;3;99580;87482;4718;4250;468;7380
Annedalsskolan F-6;4;Pojke;Grundskola;2026;4;10960;9775;990;765;225;195
Annedalsskolan F-6;4;Flicka;Grundskola;2026;4;13500;13455;45;25;20;0
Annedalsskolan F-6;5;Flicka;Grundskola;2025;8;66070;35985;2470;2400;70;27615
Annedalsskolan F-6;5;Pojke;Grundskola;2025;8;63240;34075;2470;2450;20;26695
Annedalsskolan F-6;5;Pojke;Grundskola;2025;9;133860;97070;6410;6025;385;30380
Annedalsskolan F-6;5;Flicka;Grundskola;2025;9;140060;98615;10245;10050;195;31200
Annedalsskolan F-6;5;Flicka;Grundskola;2025;10;124710;117535;5510;5430;80;1665
Annedalsskolan F-6;5;Pojke;Grundskola;2025;10;119520;109205;8350;8010;340;1965
Annedalsskolan F-6;5;Flicka;Grundskola;2025;11;139635;122700;9775;9665;110;7160
Annedalsskolan F-6;5;Pojke;Grundskola;2025;11;130960;117169;7231;6745;486;6560
Annedalsskolan F-6;5;Flicka;Grundskola;2025;12;99465;82740;13980;13790;190;2745
Annedalsskolan F-6;5;Pojke;Grundskola;2025;12;91020;82660;5885;5885;0;2475
Annedalsskolan F-6;5;Flicka;Grundskola;2026;1;110960;93522;11143;10670;473;6295
Annedalsskolan F-6;5;Pojke;Grundskola;2026;1;101430;89351;6674;6360;314;5405
